path,line,risk_type,snippet
sched/slack_estim.py,178,solver-gurobi,"            solver = GurobiRscSlackEstim(node_var_dists, remaining_deadline, quantile, constr_core, tot_cores, verbose=False)"
sched/slack_estim.py,178,solver-gurobi,"            solver = GurobiRscSlackEstim(node_var_dists, remaining_deadline, quantile, constr_core, tot_cores, verbose=False)"
sched/slack_estim.py,179,solver-gurobi,            solver.create_variables()
sched/slack_estim.py,180,solver-gurobi,            solver.define_constraints()
sched/slack_estim.py,181,solver-gurobi,            solution = solver.solve()
sched/slack_estim.py,234,solver-gurobi,"    assert algorithm in [""avg"", 'gurobi']"
sched/slack_estim.py,345,solver-gurobi,"    # update ert, ddl, exp_comp_t to graph based on solver outputs"
scripts/abla_exp_runner.py,341,eval-exec,            # Stacked bars: exec (bottom) → realloc → wait
scripts/repack_sweep.py,40,reflection,"        setattr(split_args, ""repack_mode"", False)"
scripts/repack_sweep.py,41,reflection,"        if hasattr(split_args, ""binpack_cfg"") and isinstance(split_args.binpack_cfg, dict):"
scripts/repack_sweep.py,55,reflection,"        setattr(repack_args, ""repack_mode"", True)"
scripts/repack_sweep.py,56,reflection,"        setattr(repack_args, ""exec_t_comp_ratioB"", B)"
scripts/repack_sweep.py,58,reflection,"        if hasattr(repack_args, ""binpack_cfg"") and isinstance(repack_args.binpack_cfg, dict):"
sim_main.py,437,reflection,"    if not hasattr(args, ""binpack_cfg"") or args.binpack_cfg is None:"
sim_main.py,644,solver-gurobi,        from sched.global_sched import single_turn_solver
sim_main.py,646,solver-gurobi,"        pid2_bin_id, bin_size_list = single_turn_solver("
simple_test_collector.py,282,reflection,"                elif hasattr(item, '__iter__'):"
task/graph_scaling.py,5,generated-code,"if freq_A < freq_B, the ith data generated by A is reused by the jth process of B, and j == i+freq_A*t, "
task/graph_scaling.py,6,generated-code,and each data generated by A is reused for at most math.ceil(freq_B/freq_A) times
task/task_agent.py,584,reflection,"                load_q = float(getattr(dist, 'quantile', lambda qq: _p.remburst)(q))"
task/task_agent.py,590,reflection,"                    constr, max_size, max(1, getattr(_p, 'core_max', 1))"
task/task_agent.py,82,generated-code,        self.deadline = deadline_abs      # recored when the process is generated  
task/task_agent.py,114,generated-code,        self.msg_cache:List[ContextMsg] = []    # cache the generated messages
task/task_agent.py,799,generated-code,        # self.release_time = self.ERT + self.i_offset # recored when the process is generated
task/task_agent.py,800,generated-code,        # self.deadline = self.release_time + self.ddl # recored when the process is generated  
task/task_agent.py,1053,generated-code,"                print(f""{n_event} events of {self.name} are generated"")"
task/task_cfg.py,330,reflection,"            if hasattr(obj, 'to_dict'):"
task/task_cfg.py,342,reflection,"            elif hasattr(obj, '__dict__'):"
task/task_cfg.py,966,reflection,"                    ERT=getattr(task_attr, ""ERT"", None), "
task/task_cfg.py,967,reflection,"                    ddl=getattr(task_attr, ""ddl"", None), "
task/task_cfg.py,968,reflection,"                    exp_comp_t=getattr(task_attr, ""exp_comp_t"", None), "
task/task_cfg.py,969,reflection,"                    RDA_size=getattr(task_attr, ""rda_size"", None), "
task/task_cfg.py,970,reflection,"                    main_size=getattr(task_attr, ""main_size"", None),"
task/task_cfg.py,1278,shell-call,    # add1216: distinguish the task defined by user and the process in the task queue
task/task_cfg.py,1289,shell-call,"            print(""TASK {:d}:{:s}({:d}), is expected to finish {}T OPs in {:f}-{:f} !!"".format("
task/task_cfg.py,1065,solver-gurobi,    # detect if gurobi is available
task/task_cfg.py,1067,solver-gurobi,        import gurobipy as gp
task/task_cfg.py,1068,solver-gurobi,        m = gp.Model()
task/task_cfg.py,1069,solver-gurobi,        algorithm = 'gurobi'
task/task_cfg.py,1071,solver-gurobi,"        print(f""Gurobi 模块未安装或未正确配置：{e}"")"
test_approach_collector.py,69,reflection,"        monkeypatch.setattr(plt, ""show"", mock_show)"
test_approach_collector.py,70,reflection,"        monkeypatch.setattr(plt.Figure, ""savefig"", mock_savefig)"
test_approach_collector.py,105,shell-call,    # 5. Record task finish and check propagation
test_approach_collector.py,113,shell-call,    # 6. Record E2E finish
test_approach_collector.py,176,shell-call,    # Record E2E finish with proper task start time and compute time
test_repack_diagnostic.py,6,solver-gurobi,    conda activate gurobi
tile_2d_mesh_mapper_fixed.py,246,shell-call,    # 创建10x10的2D-mesh
